asunto,categoria
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'montaña', 'pelada', 'granadilla', 'abona', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'montaña', 'roja', 'granadilla', 'abona', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'pérez', 'valero', 'arona', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'princesa', 'tejina', 'san', 'cristóbal', 'laguna', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'san', 'josé', 'calasanz', 'puerto', 'rosario', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'san', 'juan', 'haría', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'santa', 'cruz', 'california', 'santa', 'cruz', 'tenerife', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'santidad', 'arucas', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceip', 'virgen', 'volcanes', 'tinajo', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceo', 'argana', 'arrecife', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'ceo', 'manuel', 'falla', 'orotava', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'aula', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'centros', 'públicos', 'san', 'bartolomé', 'tirajana', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'aula', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'centros', 'públicos', 'santa', 'lucía', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['criterios', 'implantar', 'curso', '20222023', 'carácter', 'experiencia', 'piloto', 'aula', 'tercer', 'curso', 'ciclo', 'educación', 'infantil', 'centros', 'públicos', 'telde', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['cuantificación', 'aportación', 'pesca', 'recreo', 'soberanía', 'alimentaria', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['cuantificación', 'ingresado', 'sector', 'turístico', '2019', 'operaciones', 'vinculadas', 'compañía', 'thomas', 'cook', 'filiales', 'dirigida', 'consejero', 'hacienda', 'presupuestos', 'asuntos', 'europeos']",ASUNTOS FINANCIEROS
"['cuantificación', 'ingresado', 'sector', 'turístico', '2020', 'operaciones', 'vinculadas', 'compañía', 'thomas', 'cook', 'filiales', 'dirigida', 'consejero', 'hacienda', 'presupuestos', 'asuntos', 'europeos']",ASUNTOS FINANCIEROS
"['cumplimento', 'condiciones', 'habitabilidad', 'inmuebles', 'relacionados', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['cumplimiento', 'pnlc', 'tiro', 'deportivo', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['cumplimiento', 'protocolo', 'existente', 'recogida', 'desechos', 'sanitarios', 'hospital', 'fuerteventura', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['datos', 'línea', 'atención', 'conducta', 'suicida', 'funcionamiento', '10', 'mayo', 'comunidad', 'autónoma', 'canarias', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['desarrollo', 'reglamentario', 'previsto', 'artículo', '100', 'ley', '12019', '30', 'enero', 'actividad', 'física', 'deporte', 'canarias', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",ASUNTOS SOCIALES
"['desarrollo', 'reglamentario', 'previsto', 'artículo', '31', 'ley', '12019', '30', 'enero', 'actividad', 'física', 'deporte', 'canarias', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",ASUNTOS SOCIALES
"['desarrollo', 'reglamentario', 'previsto', 'artículo', '35', 'ley', '12019', '30', 'enero', 'actividad', 'física', 'deporte', 'canarias', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",ASUNTOS SOCIALES
"['desarrollo', 'reglamentario', 'previsto', 'disposición', 'adicional', 'ley', '12019', '30', 'enero', 'actividad', 'física', 'deporte', 'canarias', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",ASUNTOS SOCIALES
"['desarrollo', 'reglamentario', 'previsto', 'disposición', 'cuarta', 'ley', '12019', '30', 'enero', 'actividad', 'física', 'deporte', 'canarias', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",ASUNTOS SOCIALES
"['desarrollo', 'reglamentario', 'previsto', 'artículos', '97', '98', 'ley', '12019', '30', 'enero', 'actividad', 'física', 'deporte', 'canarias', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",ASUNTOS SOCIALES
"['descargas', 'realizadas', 'app', 'móvil', 'identifica', 'gobcan', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",VIDA POLÍTICA
"['destino', 'concreto', '3000000', 'euros', 'partida', '226g0103', 'equipamiento', 'infraestructuras', 'sanitarias', 'isla', 'fuerteventura', 'presupuesto', 'canarias', '2022', 'dirigida', 'consejero', 'sanidad']",INDUSTRIA
"['destino', 'concreto', '1252384', 'euros', 'partida', '186g0162', 'ampliación', 'hospital', 'fuerteventura', 'módulos', 'presupuesto', 'canarias', '2022', 'dirigida', 'consejero', 'sanidad']",INDUSTRIA
"['destino', 'concreto', '1396675', 'euros', 'partida', '216g0348', 'c18', 'i1', 'plan', 'renovación', 'tecnologías', 'sanitarias', 'scs', 'fuerteventura', 'presupuesto', 'canarias', '2022', 'dirigida', 'consejero', 'sanidad']",INDUSTRIA
"['destino', 'concreto', '1500000', 'euros', 'partida', '226g0108', 'modernización', 'reposición', 'tecnológica', 'hospitalaria', 'react', 'eu', 'fuerteventura', 'presupuesto', 'canarias', '2022', 'dirigida', 'consejero', 'sanidad']",INDUSTRIA
"['destino', 'concreto', '100000', 'euros', 'partida', '216g0060', 'cs', 'antigua', 'presupuesto', 'canarias', '2022', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['destino', 'concreto', '400000', 'euros', 'partida', '166g0101', 'obras', 'reformas', 'equipamientos', 'gss', 'fuerteventura', 'presupuesto', 'canarias', '2022', 'dirigida', 'consejero', 'sanidad']",INDUSTRIA
"['destino', 'concreto', 'criterios', 'distribución', '100000', 'mascarillas', 'fpp2', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['destino', 'dinero', 'proyecto', '217g0094', 'acciones', 'apoyo', 'internacionalización', 'best', 'in', 'gc', 'ejecutado', '2021', 'dirigida', 'consejera', 'economía', 'conocimiento']",ECONOMÍA
"['devolución', 'igic', 'ingresado', 'sector', 'turístico', 'facturas', 'thomas', 'cook', 'pagadas', 'mencionada', 'empresa', 'dirigida', 'consejero', 'hacienda', 'presupuestos', 'asuntos', 'europeos']",ASUNTOS FINANCIEROS
"['devolución', 'igic', 'ingresado', 'empresas', 'turísticas', 'operaciones', 'operador', 'thomas', 'cook', 'filiales', 'vinculado', 'operacionesfacturas', 'pagadas', 'dirigida', 'consejero', 'hacienda', 'presupuestos', 'asuntos', 'europeos']",ASUNTOS FINANCIEROS
"['distribución', 'actuaciones', 'fondos', 'europeos', 'recibidos', 'comunidad', 'autónoma', '2021', '2959', 'millones', 'euros', 'programa', 'reactue', '2021', 'dirigida', 'consejero', 'hacienda', 'presupuestos', 'asuntos', 'europeos']",ASUNTOS FINANCIEROS
"['distribución', 'exacta', 'actuaciones', 'programas', 'fondos', 'europeos', 'recibidos', 'comunidad', 'autónoma', '2021', '63979', 'millones', 'euros', 'programa', 'mrr', 'dirigida', 'consejero', 'hacienda', 'presupuestos', 'asuntos', 'europeos']",ASUNTOS FINANCIEROS
"['distribución', 'exacta', 'actuaciones', 'programas', 'indicando', 'cantidad', 'ejecutada', 'pendiente', 'porcentaje', 'ejecución', 'fondos', 'europeos', 'recibidos', 'comunidad', 'autónoma', '2021', '63979', 'millones', 'euros', 'programa', 'mrr', 'dirigida', 'consejero', 'hacienda', 'presupuestos', 'asuntos', 'europeos']",ASUNTOS FINANCIEROS
"['dotación', 'unidad', 'transcan', '5', 'puestos', 'deberían', 'integrar', 'equipo', 'disciplinar', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['dotación', 'municipio', 'oliva', 'centro', 'formación', 'profesional', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['efectividad', 'convocatoria', 'ayudas', 'transporte', 'estudiantes', 'estudios', 'superiores', 'islas', 'capitalinas', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['efectividad', 'convocatoria', 'hacerse', 'solicitud', 'bono', 'joven', 'alquiler', 'aprobada', 'gobierno', 'españa', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",ASUNTOS SOCIALES
"['ejemplares', 'almanaque', 'infantil', 'bicácaro', 'repartido', 'centros', 'educación', 'infantil', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['adoptado', 'lisboa', '27º', 'pleno', 'comité', 'mixto', 'frutas', 'hortalizas', 'franciaespañaitaliaportugal', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['cabildo', 'lanzarote', 'relación', 'evaluación', 'ambiental', 'dirigida', 'consejero', 'transición', 'ecológica', 'lucha', 'cambio', 'climático', 'planificación', 'territorial']",MEDIO AMBIENTE
"['alcance', 'campaña', 'instagram', 'destinada', 'jóvenes', 'reino', 'unido', '13', '17', 'años', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",ASUNTOS SOCIALES
"['balance', 'actual', 'eficacia', 'sistema', 'seguimiento', 'integral', 'casos', 'violencia', 'género', 'viogen', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",ASUNTOS SOCIALES
"['contrato', 'adquisición', '48000', 'test', 'pcr', 'servicio', 'canario', 'salud', 'semestre', '2021', 'coste', '720000', 'euros', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['contrato', 'personal', 'docente', 'atiende', 'alumnado', 'necesidades', 'específicas', 'apoyo', 'educativo', 'trastornos', 'graves', 'emoción', 'conducta', 'escolarizado', 'centros', 'educativos', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['convenio', 'combatir', 'despoblación', 'rural', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",ASUNTOS SOCIALES
"['coste', 'campaña', 'navidad', 'promocionar', 'producto', 'ecológico', 'local', 'instituto', 'canario', 'calidad', 'agroalimentaria', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['coste', 'campaña', 'promover', 'eliminación', 'estereotipos', 'jugueterías', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['coste', 'campaña', 'publicitaria', 'emitida', 'antena', '3', 'formato', 'publirreportaje', 'plan', 'canarias', 'cuida', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['coste', 'servicios', 'emergencia', 'seguridad', 'dependientes', 'gobierno', 'canarias', 'erupción', 'volcánica', 'palma', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",VIDA POLÍTICA
"['coste', 'catálogo', 'presentó', 'gmr', 'fitur', 'venta', 'productos', 'canarios', 'plataforma', 'digital', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['coste', 'implantación', 'textualización', 'grabaciones', 'vistas', 'judiciales', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",DERECHO
"['coste', 'implantación', 'textualización', 'grabaciones', 'vistas', 'judiciales', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",DERECHO
"['coste', 'implantación', 'textualización', 'grabaciones', 'vistas', 'judiciales', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",DERECHO
"['coste', 'implantación', 'textualización', 'grabaciones', 'vistas', 'judiciales', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",DERECHO
"['coste', 'implantación', 'textualización', 'grabaciones', 'vistas', 'judiciales', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",DERECHO
"['cultivo', 'manzanero', 'pajarita', 'valle', 'orotava', 'posibles', 'estrategias', 'valorización', 'cultivo', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['desarrollo', 'pública', 'aplicativo', 'playas', 'accesible', 'ciudadanía', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",VIDA POLÍTICA
"['desarrollo', 'historial', 'clínico', 'único', 'paciente', 'profesionales', 'puedan', 'acceso', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['desarrollo', 'visor', 'playas', 'accesible', 'ciudadanos', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",VIDA POLÍTICA
"['desarrollo', 'reglamentario', 'actividad', 'intervención', 'administrativa', 'actividad', 'creación', 'obras', 'audiovisuales', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['desarrollo', 'reglamentario', 'actividad', 'intervención', 'administrativa', 'explotaciones', 'energía', 'geotérmica', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",ENERGÍA
"['desarrollo', 'reglamentario', 'requisitos', 'documentales', 'declaraciones', 'responsables', 'materia', 'costas', 'dirigida', 'consejero', 'transición', 'ecológica', 'lucha', 'cambio', 'climático', 'planificación', 'territorial']",MEDIO AMBIENTE
"['diseño', 'organización', 'judicial', 'comunidad', 'autónoma', 'canarias', 'prestación', 'servicios', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",VIDA POLÍTICA
"['ejecución', 'presupuesto', 'inversiones', '2021', 'infraestructuras', 'educativas', 'lanzarote', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",INDUSTRIA
"['expediente', 'contratación', 'administrativa', 'servicio', 'atención', 'sociosanitaria', 'centro', 'atención', 'personas', 'situación', 'dependencia', 'derivada', 'discapacidad', 'física', 'sauzal', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['expediente', 'contratación', 'administrativa', 'servicio', 'transportes', 'personas', 'situación', 'dependencia', 'derivada', 'discapacidad', 'física', 'cadf', 'sauzal', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['impulso', 'adaptación', 'ley', 'canaria', 'igualdad', 'normativa', 'estatal', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['incremento', 'contratación', 'trabajadores', 'fijos', 'discontinuos', 'dirigida', 'consejera', 'economía', 'conocimiento']",TRABAJO Y EMPLEO
"['nombramiento', 'funcionarios', 'carrera', 'proceso', 'selectivo', 'ingreso', 'turno', 'libre', 'cuerpo', 'administrativo', 'grupo', 'csubgrupo', 'c1', 'administración', 'gobierno', 'canarias', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",VIDA POLÍTICA
"['texto', 'proyecto', 'real', 'decreto', 'normas', 'sanidad', 'protección', 'animal', 'transporte', 'canarias', 'refiere', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['objetivo', 'fijado', '2022', '26000', 'unidades', 'competencia', 'instituto', 'canario', 'cualificaciones', 'dirigida', 'gobierno']",VIDA POLÍTICA
"['operativo', 'vigilancia', 'puesto', 'marcha', 'palma', 'rastrear', 'especímenes', 'mosquito', 'aedes', 'aegypti', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['operativo', 'vigilancia', 'puesto', 'marcha', 'palma', 'rastrear', 'especímenes', 'mosquito', 'aedes', 'aegypti', 'dirigida', 'consejero', 'transición', 'ecológica', 'lucha', 'cambio', 'climático', 'planificación', 'territorial']",MEDIO AMBIENTE
"['pago', 'ayudas', 'alquiler', 'vivienda', 'covid19', 'presentadas', 'solicitadas', '10', 'junio', '2020', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",ASUNTOS SOCIALES
"['personal', 'laboral', 'casa', 'coroneles', 'dure', 'cierre', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",ASUNTOS SOCIALES
"['presupuesto', 'inmobiliaria', 'social', 'puesto', 'marcha', 'visocan', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",ASUNTOS SOCIALES
"['proyecto', 'pabellón', 'andrés', 'orozco', 'arafo', 'fecha', 'ejecución', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",INDUSTRIA
"['proyecto', 'construcción', 'centro', 'salud', 'cardones', 'arucas', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['proyectoexpediente', 'acciones', 'llevadas', 'cabo', 'tren', 'sur', 'tenerife', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['reciente', 'documento', 'gobierno', 'españa', 'criterios', 'distribución', 'fondos', 'plan', 'recuperación', 'comunidades', 'autónomas', 'dirigida', 'consejero', 'hacienda', 'presupuestos', 'asuntos', 'europeos']",ASUNTOS FINANCIEROS
"['reglamento', 'visado', 'conformidad', 'calidad', 'materia', 'urbanística', 'rehabilitación', 'funcionamiento', 'registro', 'entidades', 'colaboradoras', 'emisión', 'canarias', 'dirigida', 'consejero', 'transición', 'ecológica', 'lucha', 'cambio', 'climático', 'planificación', 'territorial']",MEDIO AMBIENTE
"['rendimiento', 'app', 'móvil', 'identifica', 'gobcan', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",VIDA POLÍTICA
"['reparto', '774', 'profesionales', 'sanitarios', 'distintas', 'áreas', 'salud', 'años', 'contratación', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['reparto', '774', 'profesionales', 'sanitarios', 'distintas', 'áreas', 'salud', 'categorías', 'profesionales', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['traslado', 'oncólogos', 'fuerteventura', 'complejo', 'hospitalario', 'canaria', 'doctor', 'negrín', 'pasar', 'consultas', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['empresa', 'adjudicó', 'estudio', 'plan', 'soberanía', 'alimentaria', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['empresa', 'desarrollado', 'plataforma', 'canarian', 'market', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']",INTERCAMBIOS ECONÓMICOS Y COMERCIALES
"['empresas', 'proveedores', 'encargados', 'diseño', 'ejecución', 'implementación', 'gestión', 'bono', 'turístico', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",ASUNTOS SOCIALES
"['entidades', 'personas', 'órganos', 'constituir', 'comisión', 'canaria', 'educación', 'formación', 'permanente', 'personas', 'adultas', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['establecimiento', 'ayuda', 'ganaderos', 'gestión', 'tratamiento', 'residuos', 'sector', 'ganadero', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['cumplimiento', '10lpnlc0086', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",DERECHO
"['cumplimiento', '10lpnlp0323', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",ASUNTOS SOCIALES
"['procesos', 'estabilización', 'personal', 'adscrito', 'entidades', 'públicas', 'empresariales', 'comunidad', 'autónoma', 'situación', 'abuso', 'temporalidad', 'dirigida', 'gobierno']",VIDA POLÍTICA
"['procesos', 'estabilización', 'personal', 'adscrito', 'fundaciones', 'sector', 'público', 'comunidad', 'autónoma', 'situación', 'abuso', 'temporalidad', 'dirigida', 'gobierno']",VIDA POLÍTICA
"['procesos', 'estabilización', 'personal', 'adscrito', 'sociedades', 'mercantiles', 'públicas', 'comunidad', 'autónoma', 'situación', 'abuso', 'temporalidad', 'dirigida', 'gobierno']",VIDA POLÍTICA
"['procesos', 'estabilización', 'personal', 'adscrito', 'consorcios', 'sector', 'público', 'comunidad', 'autónoma', 'situación', 'abuso', 'temporalidad', 'dirigida', 'gobierno']",VIDA POLÍTICA
"['tramitación', 'administrativa', 'infraestructura', 'educativa', 'lanzarote', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['tramitación', 'aprobación', 'plan', 'reposición', 'viviendas', 'rehoyas', 'palmas', 'canaria', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",INDUSTRIA
"['tramitación', 'licitación', 'proyecto', 'ejecución', 'viviendas', 'promoción', 'pública', 'maneje', 'arrecife', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",INDUSTRIA
"['quedaron', 'edificios', '90', 'viviendas', 'puerto', 'rosario', 'proyecto', 'área', 'rehabilitación', 'integral', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",ASUNTOS SOCIALES
"['implantación', 'llamada', 'quinta', 'libertad', 'transporte', 'aéreo', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['encuentran', 'obras', 'avenida', 'marítima', 'puerto', 'rosario', 'zona', 'playa', 'pozos', 'parador', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",INDUSTRIA
"['encuentran', 'obras', 'calle', 'mayo', 'puerto', 'rosario', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",INDUSTRIA
"['encuentran', 'trámites', 'conversión', 'guardería', 'municipal', 'valverde', 'escuela', 'infantil', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['estrategia', 'promocional', 'llevando', 'cabo', '2022', 'recuperar', 'turismo', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",ASUNTOS SOCIALES
"['evitación', 'parálisis', 'administración', 'funcionarios', 'toman', 'posesión', 'adaptan', 'puestos', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",TRABAJO Y EMPLEO
"['existencia', 'estudio', 'consten', 'necesidades', 'mano', 'obra', 'lanzarote', '10', 'años', 'dirigida', 'consejera', 'economía', 'conocimiento']",TRABAJO Y EMPLEO
"['existencia', 'proyecto', 'captar', 'fondos', 'europeos', 'dirigidos', 'recuperación', 'física', 'impulso', 'zona', 'puerto', 'santa', 'águeda', 'arguineguín', 'desarrollando', 'actividad', 'cementera', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",INDUSTRIA
"['existencia', 'casos', 'violencia', 'género', 'niñas', 'menores', '18', 'años', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['existencia', 'tratado', 'convenio', 'bilateral', 'gobierno', 'canarias', 'marruecos', 'traslado', 'devolución', 'repatriación', 'menores', 'inmigrantes', 'canarias', 'dirigida', 'consejero', 'administraciones', 'públicas', 'justicia', 'seguridad']",VIDA POLÍTICA
"['experiencia', 'procedimientos', 'convocatorias', 'públicas', 'administración', 'empresa', 'contratado', 'gestión', 'subvenciones', 'cargo', 'irpf', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['fecha', 'comunicación', 'presidencia', 'gobierno', 'serios', 'indicios', 'contrato', 'mascarillas', 'iba', 'cumplir', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['fecha', 'solicitudes', 'valoración', 'grado', 'discapacidad', 'revisión', 'antiguas', 'lista', 'espera', 'actual', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['fecha', 'solicitud', 'demarcación', 'costas', 'canarias', 'adscripción', 'dominio', 'público', 'marítimo', 'terrestre', 'realización', 'obras', 'metroguagua', 'litoral', 'cercano', 'vegueta', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['fecha', 'traslado', 'gobierno', 'españa', 'instando', 'cumplimiento', '10lpnlp0337', 'dirigida', 'gobierno']",VIDA POLÍTICA
